source,strategy,run_file,run_tag,run_timestamp,ticker,simulated_date,horizon,k,action,k_return,correct
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,AAPL,2021-11-15,short,10,BUY,0.1019999338837339,1
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221035,AAPL,2021-11-15,short,10,BUY,0.1019999338837339,1
baseline,rsi_14,baseline_recomputed,baseline,20260224_221052,AAPL,2021-11-15,short,10,HOLD,0.1019999338837339,0
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,AAPL,2021-11-15,short,10,BUY,0.1019999338837339,1
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,AAPL,2022-01-17,short,10,BUY,0.0283275666002796,1
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221036,AAPL,2022-01-17,short,10,BUY,0.0283275666002796,1
baseline,rsi_14,baseline_recomputed,baseline,20260224_221052,AAPL,2022-01-17,short,10,HOLD,0.0283275666002796,0
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,AAPL,2022-01-17,short,10,HOLD,0.0283275666002796,0
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,AAPL,2022-02-28,short,10,BUY,-0.0878150316145733,0
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221036,AAPL,2022-02-28,short,10,HOLD,-0.0878150316145733,0
baseline,rsi_14,baseline_recomputed,baseline,20260224_221052,AAPL,2022-02-28,short,10,HOLD,-0.0878150316145733,0
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,AAPL,2022-02-28,short,10,BUY,-0.0878150316145733,0
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,AAPL,2022-09-26,short,10,BUY,-0.0686478640171003,0
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221036,AAPL,2022-09-26,short,10,SELL,-0.0686478640171003,1
baseline,rsi_14,baseline_recomputed,baseline,20260224_221053,AAPL,2022-09-26,short,10,HOLD,-0.0686478640171003,0
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,AAPL,2022-09-26,short,10,HOLD,-0.0686478640171003,0
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,AAPL,2023-05-15,short,10,BUY,0.0303946952328247,1
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221037,AAPL,2023-05-15,short,10,BUY,0.0303946952328247,1
baseline,rsi_14,baseline_recomputed,baseline,20260224_221053,AAPL,2023-05-15,short,10,HOLD,0.0303946952328247,0
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,AAPL,2023-05-15,short,10,HOLD,0.0303946952328247,0
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,AAPL,2023-10-30,short,10,BUY,0.0866374993688154,1
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221037,AAPL,2023-10-30,short,10,SELL,0.0866374993688154,0
baseline,rsi_14,baseline_recomputed,baseline,20260224_221053,AAPL,2023-10-30,short,10,BUY,0.0866374993688154,1
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,AAPL,2023-10-30,short,10,HOLD,0.0866374993688154,0
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,AAPL,2024-12-02,short,10,BUY,0.0477900210553466,1
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221037,AAPL,2024-12-02,short,10,HOLD,0.0477900210553466,0
baseline,rsi_14,baseline_recomputed,baseline,20260224_221054,AAPL,2024-12-02,short,10,SELL,0.0477900210553466,0
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,AAPL,2024-12-02,short,10,BUY,0.0477900210553466,1
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,AAPL,2025-02-24,short,10,BUY,-0.0794010818379336,0
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221038,AAPL,2025-02-24,short,10,SELL,-0.0794010818379336,1
baseline,rsi_14,baseline_recomputed,baseline,20260224_221054,AAPL,2025-02-24,short,10,HOLD,-0.0794010818379336,0
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,AAPL,2025-02-24,short,10,BUY,-0.0794010818379336,0
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,AAPL,2025-08-11,short,10,BUY,-8.802068136082665e-05,0
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221038,AAPL,2025-08-11,short,10,BUY,-8.802068136082665e-05,0
baseline,rsi_14,baseline_recomputed,baseline,20260224_221054,AAPL,2025-08-11,short,10,HOLD,-8.802068136082665e-05,1
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,AAPL,2025-08-11,short,10,BUY,-8.802068136082665e-05,0
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,AAPL,2026-01-05,short,10,BUY,-0.0769288575465098,0
