source,strategy,run_file,run_tag,run_timestamp,ticker,simulated_date,horizon,k,action,k_return,correct,true_label,confidence_band
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,AAPL,2025-09-01,short,10,BUY,0.0366968160470748,1,,
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221038,AAPL,2025-09-01,short,10,BUY,0.0366968160470748,1,,
baseline,rsi_14,baseline_recomputed,baseline,20260224_221054,AAPL,2025-09-01,short,10,HOLD,0.0366968160470748,0,,
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,AAPL,2025-09-01,short,10,HOLD,0.0366968160470748,0,,
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,AAPL,2026-01-05,short,10,BUY,-0.0769288575465098,0,,
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221038,AAPL,2026-01-05,short,10,HOLD,-0.0769288575465098,0,,
baseline,rsi_14,baseline_recomputed,baseline,20260224_221054,AAPL,2026-01-05,short,10,HOLD,-0.0769288575465098,0,,
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,AAPL,2026-01-05,short,10,BUY,-0.0769288575465098,0,,
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,JNJ,2025-09-01,short,10,BUY,-0.0089856460782585,0,,
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221042,JNJ,2025-09-01,short,10,BUY,-0.0089856460782585,0,,
baseline,rsi_14,baseline_recomputed,baseline,20260224_221058,JNJ,2025-09-01,short,10,HOLD,-0.0089856460782585,1,,
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,JNJ,2025-09-01,short,10,SELL,-0.0089856460782585,1,,
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,JNJ,2026-01-05,short,10,BUY,0.068033915723028,1,,
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221042,JNJ,2026-01-05,short,10,BUY,0.068033915723028,1,,
baseline,rsi_14,baseline_recomputed,baseline,20260224_221059,JNJ,2026-01-05,short,10,HOLD,0.068033915723028,0,,
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,JNJ,2026-01-05,short,10,SELL,0.068033915723028,0,,
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,JPM,2025-09-01,short,10,BUY,0.0316649827272007,1,,
