source,strategy,run_file,run_tag,run_timestamp,ticker,simulated_date,horizon,k,action,k_return,correct,true_label,confidence_band
agent,nexustrader,batch_batch_frozen_v11_20260225_130845.jsonl,batch_frozen_v11,20260225_130845,AAPL,2022-02-07,short,10,BUY,-0.0427588580726964,0,,
agent,nexustrader,batch_batch_frozen_v11_20260225_130845.jsonl,batch_frozen_v11,20260225_130845,AAPL,2025-08-11,short,10,BUY,-8.802068136082665e-05,0,,
agent,nexustrader,batch_batch_frozen_v11_20260225_130845.jsonl,batch_frozen_v11,20260225_130845,AAPL,2024-06-17,short,10,HOLD,0.0166150629194785,1,,
agent,nexustrader,batch_batch_frozen_v11_20260225_130845.jsonl,batch_frozen_v11,20260225_130845,AAPL,2022-10-17,short,10,SELL,0.0767499543098563,0,,
agent,nexustrader,batch_batch_frozen_v11_20260225_130845.jsonl,batch_frozen_v11,20260225_130845,AAPL,2025-09-22,short,10,HOLD,0.0023820737384385,1,,
agent,nexustrader,batch_batch_frozen_v11_20260225_130845.jsonl,batch_frozen_v11,20260225_130845,AAPL,2022-04-11,short,10,SELL,-0.0539968104854656,1,,
agent,nexustrader,batch_batch_frozen_v11_20260225_130845.jsonl,batch_frozen_v11,20260225_130845,AAPL,2023-04-03,short,10,SELL,0.0018052830076188,0,,
agent,nexustrader,batch_batch_frozen_v11_20260225_130845.jsonl,batch_frozen_v11,20260225_130845,AAPL,2023-01-09,short,10,HOLD,0.0951208640305862,0,,
agent,nexustrader,batch_batch_frozen_v11_20260225_130845.jsonl,batch_frozen_v11,20260225_130845,AAPL,2022-02-28,short,10,SELL,-0.0878151176490783,1,,
agent,nexustrader,batch_batch_frozen_v11_20260225_130845.jsonl,batch_frozen_v11,20260225_130845,AAPL,2022-01-17,short,10,HOLD,0.0283273803303131,0,,
agent,nexustrader,batch_batch_frozen_v11_20260225_130845.jsonl,batch_frozen_v11,20260225_130845,AAPL,2026-01-05,short,10,SELL,-0.0769288575465098,1,,
agent,nexustrader,batch_batch_frozen_v11_20260225_130845.jsonl,batch_frozen_v11,20260225_130845,AAPL,2023-10-30,short,10,HOLD,0.0866372195501198,0,,
agent,nexustrader,batch_batch_frozen_v11_20260225_130845.jsonl,batch_frozen_v11,20260225_130845,AAPL,2023-05-15,short,10,SELL,0.0303947878016576,0,,
agent,nexustrader,batch_batch_frozen_v11_20260225_130845.jsonl,batch_frozen_v11,20260225_130845,AAPL,2022-09-26,short,10,SELL,-0.0686474661613934,1,,
agent,nexustrader,batch_batch_frozen_v11_20260225_130845.jsonl,batch_frozen_v11,20260225_130845,AAPL,2025-02-24,short,10,SELL,-0.0794010818379336,1,,
agent,nexustrader,batch_batch_frozen_v11_20260225_130845.jsonl,batch_frozen_v11,20260225_130845,AAPL,2024-12-02,short,10,SELL,0.0477900850903415,0,,
agent,nexustrader,batch_batch_frozen_v11_20260225_130845.jsonl,batch_frozen_v11,20260225_130845,AAPL,2021-12-27,short,10,HOLD,-0.0451395719559875,0,,
agent,nexustrader,batch_batch_frozen_v11_20260225_130845.jsonl,batch_frozen_v11,20260225_130845,AAPL,2025-04-07,short,10,HOLD,0.1007384196537375,0,,
agent,nexustrader,batch_batch_frozen_v11_20260225_130845.jsonl,batch_frozen_v11,20260225_130845,AAPL,2026-01-26,short,10,SELL,0.0762184697368913,0,,
agent,nexustrader,batch_batch_frozen_v11_20260225_130845.jsonl,batch_frozen_v11,20260225_130845,AAPL,2024-12-23,short,10,SELL,-0.0492419862290338,1,,
agent,nexustrader,batch_batch_frozen_v11_20260225_130845.jsonl,batch_frozen_v11,20260225_130845,AAPL,2022-08-15,short,10,SELL,-0.0681911800914984,1,,
agent,nexustrader,batch_batch_frozen_v11_20260225_130845.jsonl,batch_frozen_v11,20260225_130845,AAPL,2021-11-15,short,10,SELL,0.1020002669600732,0,,
agent,nexustrader,batch_batch_frozen_v11_20260225_130845.jsonl,batch_frozen_v11,20260225_130845,AAPL,2025-09-01,short,10,SELL,0.0366968160470748,0,,
agent,nexustrader,batch_batch_frozen_v11_20260225_130845.jsonl,batch_frozen_v11,20260225_130845,AAPL,2021-10-25,short,10,BUY,0.0135867592475177,1,,
agent,nexustrader,batch_batch_frozen_v11_20260225_130845.jsonl,batch_frozen_v11,20260225_130845,AAPL,2023-10-09,short,10,SELL,-0.0334654487690011,1,,
agent,nexustrader,batch_batch_frozen_v11_20260225_130845.jsonl,batch_frozen_v11,20260225_130845,JNJ,2022-01-17,short,10,HOLD,0.0226212171237832,1,,
agent,nexustrader,batch_batch_frozen_v11_20260225_130845.jsonl,batch_frozen_v11,20260225_130845,JNJ,2022-02-07,short,10,BUY,-0.0519444839326636,0,,
agent,nexustrader,batch_batch_frozen_v11_20260225_130845.jsonl,batch_frozen_v11,20260225_130845,JNJ,2021-12-27,short,10,SELL,0.0201565891513842,0,,
agent,nexustrader,batch_batch_frozen_v11_20260225_130845.jsonl,batch_frozen_v11,20260225_130845,JNJ,2021-10-25,short,10,HOLD,-0.0073741506501948,1,,
agent,nexustrader,batch_batch_frozen_v11_20260225_130845.jsonl,batch_frozen_v11,20260225_130845,JNJ,2022-04-11,short,10,SELL,0.0269127056522513,0,,
agent,nexustrader,batch_batch_frozen_v11_20260225_130845.jsonl,batch_frozen_v11,20260225_130845,JNJ,2023-05-15,short,10,SELL,-0.025166239949185,1,,
agent,nexustrader,batch_batch_frozen_v11_20260225_130845.jsonl,batch_frozen_v11,20260225_130845,JNJ,2022-02-28,short,10,SELL,0.0432640503748835,0,,
agent,nexustrader,batch_batch_frozen_v11_20260225_130845.jsonl,batch_frozen_v11,20260225_130845,JNJ,2023-04-03,short,10,SELL,0.0265220336502171,0,,
agent,nexustrader,batch_batch_frozen_v11_20260225_130845.jsonl,batch_frozen_v11,20260225_130845,JNJ,2024-06-17,short,10,SELL,0.0005483351855048,0,,
agent,nexustrader,batch_batch_frozen_v11_20260225_130845.jsonl,batch_frozen_v11,20260225_130845,JNJ,2022-09-26,short,10,HOLD,-0.0319247522832302,0,,
agent,nexustrader,batch_batch_frozen_v11_20260225_130845.jsonl,batch_frozen_v11,20260225_130845,JNJ,2023-01-09,short,10,SELL,-0.0414057549207097,1,,
