name,n,overall_acc_%,dir_acc_ex_hold_%,dir_acc_ex_hold_n,buy_acc_%,sell_acc_%,hold_acc_%,buy_n,sell_n,hold_n,hold_rate_%,hold_precision_%,mean_strategy_return_%,mean_excess_vs_bh_%
eval50_v1_gm-3-flash,50,50.0,61.76,34,66.67,60.0,25.0,9,25,16,32.0,25.0,1.863,1.574
eval50_v2_gm-3-flash,50,62.0,61.22,49,62.5,60.61,100.0,16,33,1,2.0,100.0,2.259,1.969
eval50_stageB_v1_lean,50,58.0,58.0,50,53.12,66.67,,32,18,0,0.0,,1.784,1.494
eval50_stageA_v10_full385_lean,385,57.14,57.8,372,62.12,47.22,38.46,264,108,13,3.38,38.46,1.161,-0.302
eval50_v2.1_gm-3-fpro,48,56.25,57.78,45,54.55,60.87,33.33,22,23,3,6.25,0.0,1.01,0.609
eval50_stageA_v9_full_lean,125,56.0,56.78,118,64.52,28.0,42.86,93,25,7,5.6,42.86,0.421,-0.911
eval50_stageA_v4,125,62.4,56.14,57,54.0,71.43,67.65,50,7,68,54.4,20.59,0.496,-0.669
eval50_stageB_v2_almost_full373_lean,373,55.76,56.1,369,61.7,46.27,25.0,235,134,4,1.07,25.0,0.704,-0.708
eval50_stageB_fix_bear_lean,50,56.0,56.0,50,51.61,63.16,,31,19,0,0.0,,1.473,1.183
eval50_g-3-f_structured_debate,50,40.0,55.56,18,54.55,57.14,31.25,11,7,32,64.0,25.0,1.385,1.096
eval50_stageA_v8_lean,50,52.0,55.32,47,50.0,64.71,0.0,30,17,3,6.0,0.0,1.452,1.162
eval50_stageA_v5,125,55.2,55.0,60,56.25,50.0,55.38,48,12,65,52.0,23.08,0.082,-1.083
eval50_stageA_v7_lean,50,38.0,54.55,33,46.15,85.71,5.88,26,7,17,34.0,5.88,1.001,0.711
eval50_stageA_v6_lean,125,53.6,53.85,104,55.26,50.0,52.38,76,28,21,16.8,23.81,0.726,-0.439
eval50_v1.1_gm-3-f_risk-off,50,50.0,52.08,48,50.0,52.94,0.0,14,34,2,4.0,0.0,0.313,0.024
eval50_stageA,50,52.0,52.0,50,48.15,56.52,,27,23,0,0.0,,1.551,1.261
eval50_v1.3_gm-3-f_risk-on_grounding,50,50.0,51.02,49,40.0,53.85,0.0,10,39,1,2.0,0.0,0.553,0.264
eval50_v1.2_gm-3-f_risk-on,50,48.0,50.0,46,40.0,52.78,25.0,10,36,4,8.0,0.0,-0.214,-0.504
batch_frozen_v11,125,44.8,49.44,89,46.67,50.0,33.33,15,74,36,28.8,25.0,-0.595,-1.759
eval50_v1.5_gm-3-f_risk-on_concise_prompts,50,46.0,46.0,50,43.75,50.0,,32,18,0,0.0,,0.196,-0.093
eval50_stageA_v3,50,30.0,40.0,15,35.71,100.0,25.71,14,1,35,70.0,20.0,0.136,-0.153
eval50_v1.4_gm-3-f_risk-on_concise_prompts,49,24.49,0.0,1,0.0,,25.0,1,0,48,97.96,20.83,-0.109,-0.504
