source,strategy,run_file,run_tag,run_timestamp,ticker,simulated_date,horizon,k,action,k_return,correct,true_label,confidence_band
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,AAPL,2021-11-15,short,10,BUY,0.1019999338837339,1,,
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221035,AAPL,2021-11-15,short,10,BUY,0.1019999338837339,1,,
baseline,rsi_14,baseline_recomputed,baseline,20260224_221052,AAPL,2021-11-15,short,10,HOLD,0.1019999338837339,0,,
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,AAPL,2021-11-15,short,10,BUY,0.1019999338837339,1,,
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,AAPL,2022-10-17,short,10,BUY,0.0767501807705103,1,,
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221036,AAPL,2022-10-17,short,10,SELL,0.0767501807705103,0,,
baseline,rsi_14,baseline_recomputed,baseline,20260224_221053,AAPL,2022-10-17,short,10,HOLD,0.0767501807705103,0,,
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,AAPL,2022-10-17,short,10,BUY,0.0767501807705103,1,,
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,AAPL,2023-10-30,short,10,BUY,0.0866374993688154,1,,
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221037,AAPL,2023-10-30,short,10,SELL,0.0866374993688154,0,,
baseline,rsi_14,baseline_recomputed,baseline,20260224_221053,AAPL,2023-10-30,short,10,BUY,0.0866374993688154,1,,
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,AAPL,2023-10-30,short,10,HOLD,0.0866374993688154,0,,
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,JNJ,2021-12-27,short,10,BUY,0.0201566710891932,1,,
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221039,JNJ,2021-12-27,short,10,HOLD,0.0201566710891932,1,,
baseline,rsi_14,baseline_recomputed,baseline,20260224_221055,JNJ,2021-12-27,short,10,SELL,0.0201566710891932,0,,
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,JNJ,2021-12-27,short,10,HOLD,0.0201566710891932,1,,
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,JNJ,2022-02-28,short,10,BUY,0.0432641878190912,1,,
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221039,JNJ,2022-02-28,short,10,HOLD,0.0432641878190912,0,,
baseline,rsi_14,baseline_recomputed,baseline,20260224_221056,JNJ,2022-02-28,short,10,HOLD,0.0432641878190912,0,,
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,JNJ,2022-02-28,short,10,SELL,0.0432641878190912,0,,
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,JNJ,2022-10-17,short,10,BUY,0.0443004258046311,1,,
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221040,JNJ,2022-10-17,short,10,HOLD,0.0443004258046311,0,,
baseline,rsi_14,baseline_recomputed,baseline,20260224_221056,JNJ,2022-10-17,short,10,HOLD,0.0443004258046311,0,,
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,JNJ,2022-10-17,short,10,SELL,0.0443004258046311,0,,
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,JNJ,2023-10-30,short,10,BUY,0.0040807955020822,1,,
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221041,JNJ,2023-10-30,short,10,SELL,0.0040807955020822,0,,
baseline,rsi_14,baseline_recomputed,baseline,20260224_221057,JNJ,2023-10-30,short,10,BUY,0.0040807955020822,1,,
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,JNJ,2023-10-30,short,10,SELL,0.0040807955020822,0,,
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,JNJ,2025-08-11,short,10,BUY,0.0264065975647132,1,,
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221042,JNJ,2025-08-11,short,10,BUY,0.0264065975647132,1,,
baseline,rsi_14,baseline_recomputed,baseline,20260224_221058,JNJ,2025-08-11,short,10,HOLD,0.0264065975647132,0,,
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,JNJ,2025-08-11,short,10,BUY,0.0264065975647132,1,,
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,JNJ,2025-09-22,short,10,BUY,0.0800757514657344,1,,
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221042,JNJ,2025-09-22,short,10,BUY,0.0800757514657344,1,,
baseline,rsi_14,baseline_recomputed,baseline,20260224_221058,JNJ,2025-09-22,short,10,HOLD,0.0800757514657344,0,,
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,JNJ,2025-09-22,short,10,BUY,0.0800757514657344,1,,
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,JNJ,2026-01-26,short,10,BUY,0.0774301028089219,1,,
