ticker,simulated_date,action_A,conf_A,k_return,correct_A,action_B,conf_B,correct_B,flipped,true_label
AAPL,2021-11-15,SELL,0.65,0.10200002723657219,0,SELL,0.4,0,False,BUY
JNJ,2021-12-27,SELL,0.6,0.020156692847195252,0,SELL,0.4,0,False,HOLD
JNJ,2022-02-28,BUY,0.6,0.043264159008446386,1,SELL,0.7,0,True,BUY
AAPL,2022-05-23,SELL,0.75,0.03913087368690194,0,SELL,0.8,0,False,BUY
JPM,2022-05-23,SELL,0.6,0.04390050946240281,0,BUY,0.7,1,True,BUY
NVDA,2022-05-23,SELL,0.7,0.12001430155105342,0,SELL,0.7,0,False,BUY
NVDA,2022-07-25,SELL,0.6,0.04517145247600213,0,BUY,0.7,1,True,BUY
XOM,2022-09-26,SELL,0.75,0.17694691721265055,0,SELL,0.65,0,False,BUY
AAPL,2022-10-17,SELL,0.65,0.07675017240123405,0,SELL,0.8,0,False,BUY
JNJ,2022-10-17,HOLD,0.55,0.044300382177995264,0,BUY,0.6,1,True,BUY
XOM,2022-11-28,SELL,0.6,-0.03387666704662031,1,SELL,0.75,1,False,SELL
JPM,2022-12-19,SELL,0.65,0.04859304532393048,0,SELL,0.45,0,False,BUY
XOM,2023-01-09,SELL,0.6,0.049230084956846484,0,SELL,0.75,0,False,BUY
XOM,2023-01-30,SELL,0.6,0.045319320690442734,0,SELL,0.7,0,False,BUY
AAPL,2023-03-13,SELL,0.65,0.051904030109104764,0,SELL,0.7,0,False,BUY
AAPL,2023-04-24,BUY,0.6,0.04941631534354855,1,HOLD,0.7,0,True,BUY
JNJ,2023-04-24,SELL,0.55,-0.008370078765039531,1,BUY,0.65,0,True,HOLD
JPM,2023-05-15,BUY,0.6,0.016490631212399555,1,BUY,0.75,1,False,HOLD
AAPL,2023-06-26,HOLD,0.65,0.01516693085753201,1,BUY,0.7,1,True,HOLD
JPM,2023-06-26,BUY,0.6,0.06640142997982697,1,BUY,0.5,1,False,BUY
JNJ,2023-07-17,SELL,0.65,0.0531840635822679,0,SELL,0.7,0,False,BUY
AAPL,2023-10-30,BUY,0.65,0.08663731020498153,1,SELL,0.7,0,True,BUY
JNJ,2023-10-30,SELL,0.75,0.004080909259144335,0,SELL,0.75,0,False,HOLD
JPM,2023-10-30,SELL,0.75,0.06083561373054714,0,SELL,0.6,0,False,BUY
JPM,2024-01-22,SELL,0.65,0.025806868423565894,0,SELL,0.6,0,False,BUY
JPM,2024-03-04,SELL,0.65,0.032033418341010755,0,SELL,0.75,0,False,BUY
JPM,2024-04-15,SELL,0.78,0.056810059691559986,0,SELL,0.7,0,False,BUY
JPM,2024-06-17,BUY,0.6,0.07103291604077114,1,SELL,0.65,0,True,BUY
JNJ,2024-07-08,BUY,0.65,0.06021459232678625,1,BUY,0.7,1,False,BUY
XOM,2024-07-08,BUY,0.6,0.02754492391564977,1,BUY,0.65,1,False,BUY
AAPL,2024-09-09,BUY,0.65,0.025168606133444186,1,BUY,0.85,1,False,BUY
NVDA,2024-09-09,SELL,0.6,0.0920442761679558,0,SELL,0.85,0,False,BUY
JPM,2024-09-30,SELL,0.65,0.05680193026948536,0,HOLD,0.6,0,True,BUY
AAPL,2024-11-11,SELL,0.65,0.038531886246862705,0,SELL,0.4,0,False,BUY
AAPL,2025-01-13,SELL,0.75,0.01646753951943746,0,SELL,0.8,0,False,HOLD
JNJ,2025-01-13,BUY,0.65,0.04090809210399606,1,BUY,0.75,1,False,BUY
AAPL,2025-02-03,SELL,0.65,0.07336883986914801,0,SELL,0.6,0,False,BUY
JNJ,2025-02-03,BUY,0.6,0.028713029599638402,1,BUY,0.65,1,False,BUY
NVDA,2025-02-03,SELL,0.7,0.19492533335723214,0,SELL,0.55,0,False,BUY
JPM,2025-04-07,SELL,0.75,0.09862896129190615,0,SELL,0.85,0,False,BUY
NVDA,2025-04-07,SELL,0.75,0.012802109984043668,0,SELL,0.85,0,False,HOLD
XOM,2025-04-07,SELL,0.75,0.0520691054377,0,SELL,0.85,0,False,BUY
JNJ,2025-04-28,SELL,0.65,-0.00778896007034799,1,SELL,0.4,1,False,HOLD
NVDA,2025-06-09,BUY,0.75,0.03702053906265381,1,BUY,0.65,1,False,BUY
NVDA,2025-06-30,BUY,0.65,0.08044800704113728,1,BUY,0.8,1,False,BUY
XOM,2025-06-30,SELL,0.65,0.04740265863534218,0,SELL,0.7,0,False,BUY
NVDA,2025-07-21,BUY,0.7,0.050297489773649895,1,BUY,0.75,1,False,BUY
JNJ,2025-08-11,BUY,0.65,0.026406519985249195,1,BUY,0.75,1,False,BUY
XOM,2025-08-11,SELL,0.65,0.06566922952905722,0,SELL,0.7,0,False,BUY
JNJ,2025-09-22,SELL,0.6,0.08007574300157475,0,SELL,0.5,0,False,BUY
XOM,2025-10-13,SELL,0.65,0.03296513514470543,0,BUY,0.75,1,True,BUY
XOM,2025-11-03,BUY,0.7,0.04350645264455727,1,BUY,0.75,1,False,BUY
JNJ,2025-12-15,BUY,0.65,-0.03389827959113349,0,BUY,0.5,0,False,SELL
NVDA,2025-12-15,BUY,0.68,0.06381530675845194,1,BUY,0.65,1,False,BUY
JNJ,2026-01-26,BUY,0.6,0.07743005985742178,1,BUY,0.5,1,False,BUY
XOM,2026-01-26,BUY,0.65,0.12140315910836678,1,BUY,0.5,1,False,BUY
