ticker,simulated_date,action_A,action_B,true_label,k_return,correct_A,correct_B,flip_helped,flip_hurt
NVDA,2025-02-03,BUY,SELL,BUY,0.19492533335723214,1.0,0,False,True
XOM,2022-09-26,BUY,HOLD,BUY,0.17694691721265055,1.0,0,False,True
XOM,2026-01-26,BUY,HOLD,BUY,0.12140315910836678,1.0,0,False,True
NVDA,2022-05-23,BUY,SELL,BUY,0.12001417490699978,1.0,0,False,True
NVDA,2022-11-28,BUY,HOLD,BUY,0.10820028386166496,1.0,0,False,True
AAPL,2021-11-15,BUY,HOLD,BUY,0.10200015240008828,1.0,0,False,True
JPM,2025-04-07,BUY,SELL,BUY,0.09862896129190615,1.0,0,False,True
NVDA,2024-09-09,BUY,HOLD,BUY,0.0920442761679558,1.0,0,False,True
AAPL,2023-10-30,BUY,SELL,BUY,0.08663750722292742,1.0,0,False,True
JNJ,2025-09-22,BUY,SELL,BUY,0.08007574300157475,1.0,0,False,True
JNJ,2026-01-26,BUY,HOLD,BUY,0.07743005985742178,1.0,0,False,True
AAPL,2022-10-17,BUY,SELL,BUY,0.0767500549862826,1.0,0,False,True
AAPL,2025-02-03,BUY,SELL,BUY,0.07336877258199058,1.0,0,False,True
JPM,2024-06-17,BUY,SELL,BUY,0.07103308423934561,1.0,0,False,True
JPM,2023-06-26,BUY,HOLD,BUY,0.06640142997982697,1.0,0,False,True
XOM,2025-08-11,BUY,SELL,BUY,0.06566922952905722,1.0,0,False,True
NVDA,2025-12-15,BUY,HOLD,BUY,0.06381530675845194,1.0,0,False,True
JPM,2023-10-30,BUY,SELL,BUY,0.06083560663592888,1.0,0,False,True
JNJ,2024-07-08,BUY,HOLD,BUY,0.06021448195227781,1.0,0,False,True
NVDA,2023-12-11,BUY,HOLD,BUY,0.05687676748129919,1.0,0,False,True
JPM,2024-04-15,BUY,SELL,BUY,0.056810064610376625,1.0,0,False,True
JPM,2024-09-30,BUY,HOLD,BUY,0.05680170197333251,1.0,0,False,True
JNJ,2023-07-17,BUY,HOLD,BUY,0.05318374019423261,1.0,0,False,True
XOM,2025-04-07,BUY,SELL,BUY,0.05206918209920198,1.0,0,False,True
AAPL,2023-03-13,BUY,SELL,BUY,0.05190424120206811,1.0,0,False,True
AAPL,2023-04-24,BUY,HOLD,BUY,0.04941602519994446,1.0,0,False,True
XOM,2023-01-09,BUY,HOLD,BUY,0.049230084956846484,1.0,0,False,True
JPM,2022-12-19,BUY,HOLD,BUY,0.04859292151509899,1.0,0,False,True
XOM,2025-06-30,BUY,HOLD,BUY,0.04740258609809067,1.0,0,False,True
XOM,2023-01-30,BUY,HOLD,BUY,0.045319320690442734,1.0,0,False,True
NVDA,2022-07-25,BUY,HOLD,BUY,0.04517168197083741,1.0,0,False,True
JNJ,2022-10-17,BUY,HOLD,BUY,0.044300391173364755,1.0,0,False,True
JPM,2022-05-23,BUY,HOLD,BUY,0.04390057687211777,1.0,0,False,True
XOM,2025-11-03,BUY,HOLD,BUY,0.04350645264455727,1.0,0,False,True
JNJ,2022-02-28,BUY,SELL,BUY,0.043264163513480586,1.0,0,False,True
JNJ,2025-01-13,BUY,HOLD,BUY,0.04090820153483315,1.0,0,False,True
AAPL,2022-05-23,BUY,SELL,BUY,0.03913065210871521,1.0,0,False,True
AAPL,2024-11-11,BUY,HOLD,BUY,0.03853188888327073,1.0,0,False,True
XOM,2025-10-13,BUY,HOLD,BUY,0.03296513514470543,1.0,0,False,True
JPM,2024-03-04,BUY,SELL,BUY,0.032033591715172095,1.0,0,False,True
JNJ,2025-02-03,BUY,HOLD,BUY,0.028713029599638402,1.0,0,False,True
AAPL,2022-01-17,BUY,HOLD,BUY,0.028327474766008574,1.0,0,False,True
JPM,2024-01-22,BUY,HOLD,BUY,0.025806964471288357,1.0,0,False,True
AAPL,2024-09-09,BUY,HOLD,BUY,0.02516846533127332,1.0,0,False,True
AAPL,2025-01-13,BUY,SELL,HOLD,0.01646767042509912,1.0,0,False,True
NVDA,2025-04-07,BUY,SELL,HOLD,0.012802109984043668,1.0,0,False,True
JNJ,2023-04-24,SELL,BUY,HOLD,-0.008369976828894983,1.0,0,False,True
