ticker,simulated_date,action_A,conf_A,k_return,correct_A,action_B,conf_B,correct_B,flipped,true_label
AAPL,2021-11-15,BUY,0.6,0.10200015240008828,1.0,HOLD,0.75,0,True,BUY
JNJ,2021-12-27,BUY,0.6,0.02015648955328501,1.0,HOLD,0.75,1,True,HOLD
AAPL,2022-01-17,BUY,0.65,0.028327474766008574,1.0,HOLD,0.75,0,True,BUY
JNJ,2022-02-28,BUY,0.7,0.043264163513480586,1.0,SELL,0.65,0,True,BUY
AAPL,2022-05-23,BUY,0.6,0.03913065210871521,1.0,SELL,0.75,0,True,BUY
JPM,2022-05-23,BUY,0.65,0.04390057687211777,1.0,HOLD,0.7,0,True,BUY
NVDA,2022-05-23,BUY,0.6,0.12001417490699978,1.0,SELL,0.75,0,True,BUY
NVDA,2022-07-25,BUY,0.6,0.04517168197083741,1.0,HOLD,0.7,0,True,BUY
XOM,2022-09-26,BUY,0.65,0.17694691721265055,1.0,HOLD,0.7,0,True,BUY
AAPL,2022-10-17,BUY,0.6,0.0767500549862826,1.0,SELL,0.7,0,True,BUY
JNJ,2022-10-17,BUY,0.65,0.044300391173364755,1.0,HOLD,0.75,0,True,BUY
AAPL,2022-11-28,BUY,0.65,0.001872199387084748,1.0,BUY,0.65,1,False,HOLD
NVDA,2022-11-28,BUY,0.65,0.10820028386166496,1.0,HOLD,0.65,0,True,BUY
XOM,2022-11-28,SELL,0.6,-0.03387674458818065,1.0,SELL,0.65,1,False,SELL
JPM,2022-12-19,BUY,0.65,0.04859292151509899,1.0,HOLD,0.75,0,True,BUY
XOM,2023-01-09,BUY,0.7,0.049230084956846484,1.0,HOLD,0.75,0,True,BUY
XOM,2023-01-30,BUY,0.6,0.045319320690442734,1.0,HOLD,0.75,0,True,BUY
AAPL,2023-03-13,BUY,0.6,0.05190424120206811,1.0,SELL,0.65,0,True,BUY
AAPL,2023-04-24,BUY,0.6,0.04941602519994446,1.0,HOLD,0.75,0,True,BUY
JNJ,2023-04-24,SELL,0.65,-0.008369976828894983,1.0,BUY,0.65,0,True,HOLD
JPM,2023-05-15,BUY,0.65,0.016490388825358575,1.0,HOLD,0.75,1,True,HOLD
