simulated_date,input_order,stageA_rows,stageA_tickers,stageB_rows,stageB_tickers,in_stage_A,in_stage_B,matched_in_both,full_5ticker_overlap
2021-09-13,1,5,5,0,0,True,False,False,False
2021-10-04,2,5,5,0,0,True,False,False,False
2021-10-25,3,5,5,0,0,True,False,False,False
2021-11-15,4,5,5,1,1,True,True,True,False
2021-12-06,5,5,5,0,0,True,False,False,False
2021-12-27,6,5,5,1,1,True,True,True,False
2022-01-17,7,5,5,1,1,True,True,True,False
2022-02-07,8,5,5,0,0,True,False,False,False
2022-02-28,9,5,5,1,1,True,True,True,False
2022-03-21,10,5,5,0,0,True,False,False,False
2022-04-11,11,5,5,0,0,True,False,False,False
2022-05-02,12,5,5,0,0,True,False,False,False
2022-05-23,13,5,5,3,3,True,True,True,False
2022-06-13,14,5,5,0,0,True,False,False,False
2022-07-04,15,5,5,0,0,True,False,False,False
2022-07-25,16,5,5,1,1,True,True,True,False
2022-08-15,17,5,5,0,0,True,False,False,False
2022-09-05,18,5,5,0,0,True,False,False,False
2022-09-26,19,5,5,1,1,True,True,True,False
2022-10-17,20,5,5,2,2,True,True,True,False
2022-11-07,21,5,5,0,0,True,False,False,False
2022-11-28,22,5,5,3,3,True,True,True,False
2022-12-19,23,5,5,1,1,True,True,True,False
2023-01-09,24,5,5,1,1,True,True,True,False
2023-01-30,25,5,5,1,1,True,True,True,False
2023-02-20,26,5,5,0,0,True,False,False,False
2023-03-13,27,5,5,1,1,True,True,True,False
2023-04-03,28,5,5,0,0,True,False,False,False
2023-04-24,29,5,5,2,2,True,True,True,False
2023-05-15,30,5,5,1,1,True,True,True,False
2023-06-05,31,5,5,0,0,True,False,False,False
2023-06-26,32,5,5,2,2,True,True,True,False
2023-07-17,33,5,5,1,1,True,True,True,False
2023-08-07,34,5,5,0,0,True,False,False,False
2023-08-28,35,5,5,0,0,True,False,False,False
2023-09-18,36,5,5,0,0,True,False,False,False
2023-10-09,37,5,5,0,0,True,False,False,False
2023-10-30,38,5,5,3,3,True,True,True,False
2023-11-20,39,5,5,0,0,True,False,False,False
2023-12-11,40,5,5,1,1,True,True,True,False
2024-01-01,41,5,5,0,0,True,False,False,False
2024-01-22,42,5,5,1,1,True,True,True,False
2024-02-12,43,5,5,0,0,True,False,False,False
2024-03-04,44,5,5,1,1,True,True,True,False
2024-03-25,45,5,5,0,0,True,False,False,False
2024-04-15,46,5,5,1,1,True,True,True,False
2024-05-06,47,5,5,0,0,True,False,False,False
2024-05-27,48,5,5,0,0,True,False,False,False
2024-06-17,49,5,5,1,1,True,True,True,False
2024-07-08,50,5,5,2,2,True,True,True,False
2024-07-29,51,5,5,0,0,True,False,False,False
2024-08-19,52,5,5,0,0,True,False,False,False
2024-09-09,53,5,5,2,2,True,True,True,False
2024-09-30,54,5,5,1,1,True,True,True,False
2024-10-21,55,5,5,0,0,True,False,False,False
2024-11-11,56,5,5,1,1,True,True,True,False
2024-12-02,57,5,5,0,0,True,False,False,False
2024-12-23,58,5,5,0,0,True,False,False,False
2025-01-13,59,5,5,2,2,True,True,True,False
2025-02-03,60,5,5,3,3,True,True,True,False
2025-02-24,61,5,5,0,0,True,False,False,False
2025-03-17,62,5,5,0,0,True,False,False,False
2025-04-07,63,5,5,3,3,True,True,True,False
2025-04-28,64,5,5,1,1,True,True,True,False
2025-05-19,65,5,5,0,0,True,False,False,False
2025-06-09,66,5,5,1,1,True,True,True,False
2025-06-30,67,5,5,2,2,True,True,True,False
2025-07-21,68,5,5,1,1,True,True,True,False
2025-08-11,69,5,5,2,2,True,True,True,False
2025-09-01,70,5,5,0,0,True,False,False,False
2025-09-22,71,5,5,1,1,True,True,True,False
2025-10-13,72,5,5,1,1,True,True,True,False
2025-11-03,73,5,5,1,1,True,True,True,False
2025-11-24,74,5,5,0,0,True,False,False,False
2025-12-15,75,5,5,2,2,True,True,True,False
2026-01-05,76,5,5,0,0,True,False,False,False
2026-01-26,77,5,5,2,2,True,True,True,False
