ticker,simulated_date,action_A,action_B,true_label,k_return,correct_A,correct_B,flip_helped,flip_hurt
NVDA,2025-02-03,BUY,SELL,BUY,0.19492533335723214,1,0,False,True
XOM,2022-09-26,BUY,SELL,BUY,0.17694681500516302,1,0,False,True
XOM,2026-01-26,BUY,HOLD,BUY,0.12140315910836678,1,0,False,True
NVDA,2022-05-23,BUY,SELL,BUY,0.12001440105420783,1,0,False,True
NVDA,2022-11-28,BUY,HOLD,BUY,0.10820040452549702,1,0,False,True
AAPL,2021-11-15,BUY,SELL,BUY,0.1019999232801898,1,0,False,True
JPM,2025-04-07,BUY,SELL,BUY,0.09862896129190615,1,0,False,True
NVDA,2024-09-09,BUY,HOLD,BUY,0.0920442761679558,1,0,False,True
AAPL,2023-10-30,BUY,HOLD,BUY,0.08663731020498153,1,0,False,True
JNJ,2025-09-22,BUY,SELL,BUY,0.08007574300157475,1,0,False,True
JNJ,2026-01-26,BUY,SELL,BUY,0.07743005985742178,1,0,False,True
AAPL,2022-10-17,BUY,SELL,BUY,0.07674995430985637,1,0,False,True
AAPL,2025-02-03,BUY,SELL,BUY,0.07336862813414285,1,0,False,True
JPM,2024-06-17,BUY,SELL,BUY,0.07103300302452127,1,0,False,True
JPM,2023-06-26,BUY,HOLD,BUY,0.0664014222252949,1,0,False,True
XOM,2025-08-11,BUY,SELL,BUY,0.06566922952905722,1,0,False,True
NVDA,2025-12-15,BUY,HOLD,BUY,0.06381530675845194,1,0,False,True
JPM,2023-10-30,BUY,SELL,BUY,0.060835366302359084,1,0,False,True
JNJ,2024-07-08,BUY,HOLD,BUY,0.060214709347463626,1,0,False,True
NVDA,2023-12-11,BUY,HOLD,BUY,0.05687685399579017,1,0,False,True
JPM,2024-04-15,BUY,SELL,BUY,0.056810064610376625,1,0,False,True
JPM,2024-09-30,BUY,HOLD,BUY,0.05680170197333251,1,0,False,True
JNJ,2023-07-17,BUY,HOLD,BUY,0.05318427179204174,1,0,False,True
XOM,2025-04-07,BUY,SELL,BUY,0.05206918209920198,1,0,False,True
AAPL,2023-03-13,BUY,SELL,BUY,0.05190413832544218,1,0,False,True
NVDA,2025-07-21,BUY,HOLD,BUY,0.050297489773649895,1,0,False,True
AAPL,2023-04-24,BUY,HOLD,BUY,0.04941641360039355,1,0,False,True
XOM,2023-01-09,BUY,HOLD,BUY,0.0492301634563258,1,0,False,True
JPM,2022-12-19,BUY,HOLD,BUY,0.04859304224089986,1,0,False,True
XOM,2025-06-30,BUY,SELL,BUY,0.04740258609809067,1,0,False,True
XOM,2023-01-30,BUY,HOLD,BUY,0.04531924231139608,1,0,False,True
NVDA,2022-07-25,BUY,HOLD,BUY,0.045171676901987784,1,0,False,True
JNJ,2022-10-17,BUY,HOLD,BUY,0.044300492700361245,1,0,False,True
JNJ,2022-02-28,BUY,HOLD,BUY,0.04326427214707784,1,0,False,True
JNJ,2025-01-13,BUY,HOLD,BUY,0.040908310965670235,1,0,False,True
AAPL,2022-05-23,BUY,SELL,BUY,0.039130756519700986,1,0,False,True
AAPL,2024-11-11,BUY,HOLD,BUY,0.03853181782540459,1,0,False,True
JNJ,2025-12-15,SELL,HOLD,SELL,-0.03389827959113349,1,0,False,True
XOM,2022-11-28,SELL,HOLD,SELL,-0.03387651196349964,1,0,False,True
XOM,2025-10-13,BUY,HOLD,BUY,0.03296513514470543,1,0,False,True
JPM,2024-03-04,BUY,SELL,BUY,0.032033418341010755,1,0,False,True
JNJ,2025-02-03,BUY,HOLD,BUY,0.02871302661064907,1,0,False,True
XOM,2024-07-08,BUY,HOLD,BUY,0.02754492391564977,1,0,False,True
JNJ,2025-08-11,BUY,HOLD,BUY,0.026406517622819373,1,0,False,True
JPM,2024-01-22,BUY,HOLD,BUY,0.02580677237586142,1,0,False,True
AAPL,2024-09-09,BUY,HOLD,BUY,0.025168675659596344,1,0,False,True
JNJ,2021-12-27,BUY,HOLD,HOLD,0.02015689614110549,1,1,False,False
JPM,2023-05-15,BUY,HOLD,HOLD,0.016490388825358575,1,1,False,False
AAPL,2025-01-13,BUY,SELL,HOLD,0.01646760497226829,1,0,False,True
AAPL,2023-06-26,BUY,HOLD,HOLD,0.015167182435475083,1,1,False,False
NVDA,2025-04-07,BUY,SELL,HOLD,0.012802109984043668,1,0,False,True
JNJ,2023-04-24,SELL,HOLD,HOLD,-0.008369976828894983,1,1,False,False
AAPL,2022-11-28,BUY,HOLD,HOLD,0.0018720918882683102,1,1,False,False
